id,name,family_id
1035,Adelphithrips,7358
1036,Adelphobolbina,3403
1037,Adelphopauropus,2253
1038,Adelphos,2143
1039,Adelphotectonica,577
1040,Adelta,6546
1041,Adenaplostoma,4824
1042,Adenapogon,524
1043,Adenicola,5714
1044,Adenifera,1138
1045,Adenocauda,5992
1046,Adenocephalus,2236
1047,Adenocerca,7628
1048,Adenodactyloplana,1864
1049,Adenodelphis,892
1050,Adenodidymocystis,2205
1051,Adenodrilus,3193
1052,Adenogaster,5984
1053,Adenolaimus,737
1054,Adenomeris,2969
1055,Adenomeropus,6264
1056,Adenopea,1742
1057,Adenopharynx,6829
1058,Adenopilina,4739
1059,Adenoplana,2278
1060,Adenoplea,7628
1061,Adenopleurella,131
1062,Adenops,699
1063,Adenorhagas,3994
1064,Adenorhynchus,5981
1065,Adeona,133
1066,Adeone,133
1067,Adeonella,133
1068,Adeonellopsis,133
1069,Adeorbella,7407
1070,Adeorbis,7407
1071,Adeorbisina,1689
1072,Adercodon,299
1073,Adetaster,299
1074,Adeuchromadora,1533
1075,Adeuomphalus,6
1076,Adfacelina,2745
1077,Adiaphorostreptus,3200
1078,Adiaptomus,2167
1078,Adiaptomus,2167
1079,Adinassa,4661
1080,Adinda,6624
1081,Adineta,136
1082,Adinia,2844
1083,Adinopsis,4661
1084,Adinosoma,3274
1085,Adinus,4661
1086,Adioryx,3405
1087,Adipicola,4622
1088,Adipsomyia,2487
1089,Adisia,2843
1090,Adisiella,6264
1091,Adjua,7043
1092,Adlardia,1873
1093,Adlatipora,31
1094,Admete,1188
1095,Admetella,5840
1096,Admetula,1188
1097,Admirabilinella,1188
1098,Admiranda,137
1099,Admirandopora,137
1100,Admirandus,4959
1101,Admiratella,137
1102,Admytilus,4622
1103,Adna,6265
1104,Adocia,1406
1105,Adolescaria,1406
1106,Adolphinoba,6455
1107,Adoncholaimus,4959
1108,Adonis,937
1109,Adoniscus,4926
1110,Adontodesmus,5128
1111,Adontorhina,7362
1112,Adontosternarchus,539
1113,Adoristes,3953
1114,Adorus,5133
1115,Adorybiotus,6444
1116,Adoryherpia,6763
1117,Adota,6957
1118,Adrana,7846
1119,Adranella,7846
1120,Adranesius,634
1121,Adreissa,764
1122,Adreus,3252
1123,Adriaca,1602
1124,Adrianichthys,140
1125,Adriohydrobia,3462
1126,Adriolitorea,3462
1127,Adrityla,141
1127,Adrityla,141
1128,Adropion,3507
1129,Adshardicus,463
1130,Adula,4622
1131,Adulomya,7745
1132,Aduncospiculum,2248
1133,Adungella,7656
1134,Adura,2281
